Artist;Title;Album;Year
Judas Priest;Let Us Prey / Call For The Priest;Sin After Sin [The Re-Masters];1977
Judas Priest;Invader;Stained Class;1978
Judas Priest;Invader;Stained Class (remastered);1978
Black Sabbath;All Moving Parts (Stand Still);Technical Ecstasy;1976
All Shall Perish;Embrace The Curse;This Is Where It Ends;2011
Stratovarius;Twilight Time;Twilight Time;1999
Judas Priest;The Green Manalishi (With The Two-Pronged Crown);Unleashed In The East;1979
Pantera;This Love;Vulgar Display Of Power;1992
Arch Enemy;Savage Messiah;Wages of Sin;2002
Pantera;Cowboys From Hell (live);Walk (EP);1993
Manowar;Swords In The Wind;Warriors of the World;2002
Faith No More;Introduce Yourself (4 Track Demos);Who Cares A Lot? The Greatest Hits [Disc 2];1998
Ministry;Jesus Built My Hotrod;ÎšÎ•Î¦Î‘Î›Î—ÎžÎ˜;1991
Iron Maiden;Number of the Beast [Live];2 Minutes to Midnight/Aces High;1990
Corrosion Of Conformity;Prayer;Animosity;2006
David Shankle Group;Curse Of The Pharaoh;Ashes to Ashes;2005
Iron Maiden;Fear Of The Dark (Live);Best Of The Beast;1996
Iron Maiden;The Trooper;Best Of The Beast;1996
S.O.D.;King At The King / Evil Is In;Bigger Than The Devil;2000
Black Sabbath;Evil;Black Box: The Complete Original Black Sabbath (1970-1978);1970
