;show_date;Artist;Title;Album;Year
360;Dec 11. 2022;Band Of Horses;Ode to LRC;Cease to Begin;2007
361;Dec 11. 2022;Bass Drum of Death;White Fright;Bass Drum of Death;2013
362;Dec 11. 2022;Best Coast;The End;Crazy For You;2012
363;Dec 11. 2022;Blur;Song 2;Blur: The Best Of;2000
364;Dec 11. 2022;Blushh;I’m Over It;Thx 4 Asking;2018
365;Dec 11. 2022;Broken Bells;The High Road;Broken Bells;2010
366;Dec 11. 2022;Built to Spill;Strange;Ancient Melodies Of The Future;2001
367;Dec 11. 2022;Car Seat Headrest;Can't Cool Me Down;Can't Cool Me Down;2020
368;Dec 11. 2022;Courtney Barnett;Canned Tomatoes;The Double EP: A Sea of Split Peas;2013
369;Dec 11. 2022;Oregon Bike Trails;Cayucos;HairBrained (Original Motion Picture Soundtrack);2014
370;Dec 11. 2022;Astralasia;Realise Your Purpose;Astralogy;2014
371;Dec 11. 2022;Cold War Kids;Every Valley Is Not A Lake;Loyalty To Loyalty;2016
372;Dec 8. 2022 ;Robert Allen Parker;Copperhead Boogie;The River's Invitation;2021
373;Dec 8. 2022 ;Wet Leg;Wet Dream;Wet Dream;2021
374;Dec 8. 2022 ;Weezer;My Name Is Jonas;Blue/Green/Red;2014
375;Dec 8. 2022 ;The Cairo Gang;Be What You Are;Goes Missing;2015
376;Dec 8. 2022 ;Ween;Captain Fantasy;Live at Stubb's;2003
377;Dec 8. 2022 ;The War On Drugs;Red Eyes;Red Eyes;2013
378;Dec 8. 2022 ;The Walkmen;Heartbreaker;Heaven;2012
379;Dec 8. 2022 ;Veruca Salt;Seether;90s Rock Gold;2009
380;Dec 8. 2022 ;Mitski;Cop Car;The Turning (Original Motion Picture Soundtrack);2020
381;Dec 8. 2022 ;Stef Chura;17th Amendment;27: The Most Perfect Album;2018
382;Dec 8. 2022 ;Supersuckers;Coattail Rider;Coattail Rider;2008
383;Dec 8. 2022 ;The Grifters;Parting Shot;Parting Shot;2008
384;Dec 8. 2022 ;The White Stripes;Party of Special Things to Do;Party of Special Things to Do;2015
385;Dec 8. 2022 ;Vampire Weekend;Step;Step;2013
386;Dec 8. 2022 ;The Vaccines;Teenage Icon;Teenage Icon;2012
387;Dec 8. 2022 ;Uncle Tupelo;New Madrid;Uncle Tupelo 89/93: An Anthology;2002
388;Dec 8. 2022 ;Ultra Orange;Don't Kiss Me Goodbye;Ultra Orange & Emmanuelle (Digital Deluxe Edition);2007
389;Dec 8. 2022 ;alt-J;Left Hand Free;Left Hand Free;2014
390;Dec 8. 2022 ;Alex The Astronaut;I Think You’re Great;triple j’s Hottest 100. Vol. 28;2021
391;Dec 8. 2022 ;The Amps;Tipp City;Tipp City;1995
392;Dec 8. 2022 ;Arcade Fire;Neighborhood #1 (Tunnels);Funeral;2017
393;Dec 8. 2022 ;Arctic Monkeys;Do I Wanna Know?;AM;2013
394;Dec 8. 2022 ;Band Of Horses;Ode to LRC;Cease to Begin;2007
395;Dec 8. 2022 ;Bass Drum of Death;White Fright;Bass Drum of Death;2013
396;Dec 8. 2022 ;Best Coast;The End;Crazy For You;2012
397;Dec 8. 2022 ;Blushh;I’m Over It;Thx 4 Asking;2018
398;Dec 8. 2022 ;Broken Bells;The High Road;Broken Bells;2010
399;Dec 8. 2022 ;Built to Spill;Strange;Ancient Melodies Of The Future;2001
400;Dec 8. 2022 ;Car Seat Headrest;Can't Cool Me Down;Can't Cool Me Down;2020
401;Dec 8. 2022 ;Courtney Barnett;Canned Tomatoes;The Double EP: A Sea of Split Peas;2013
402;Dec 8. 2022 ;Oregon Bike Trails;Cayucos;HairBrained (Original Motion Picture Soundtrack);2014
403;Dec 8. 2022 ;Cold War Kids;Every Valley Is Not A Lake;Loyalty To Loyalty;2016
404;Dec 4. 2022 ;The Shins;Australia;Australia (CD);2007
405;Dec 4. 2022 ;Modest Mouse;Ocean Breathes Salty (Album Version);Good News For People Who Love Bad News;2004
406;Dec 4. 2022 ;The Dead Weather;So Far from Your Weapon;Horehound;2500
407;Dec 4. 2022 ;Sebadoh;Willing To Wait;Willing To Wait;2006
408;Dec 4. 2022 ;Tijuana Panthers;Advice;EP;2008
409;Dec 4. 2022 ;Ty Segall;Drug Mugger;Mr. Face;2015
410;Dec 4. 2022 ;Pixies;Debaser;Death To The Pixies;1997
